sourceId,source,targetId,target
u1,Bates College,s3,Anthropology
u1,Bates College,s4,Art and Visual Culture
u1,Bates College,s6,Biology
u1,Bates College,s7,Chemistry and Laboratory Sciences
u1,Bates College,s25,Interdisciplinary Studies
u1,Bates College,s76,"Science, Technology, and Society"
u1,Bates College,s11,Economics
u1,Bates College,s12,Education
u1,Bates College,s13,English
u1,Bates College,s24,History
u1,Bates College,s27,Mathematics
u1,Bates College,s28,Music
u1,Bates College,s30,Philosophy
u1,Bates College,s32,Physics and Astronomy
u1,Bates College,s33,Politics
u1,Bates College,s34,Psychology
u1,Bates College,s37,Sociology
u2,Beal College,s39,Healthcare
u2,Beal College,s41,Medicine and Biotechnology
u2,Beal College,s42,Business
u2,Beal College,s43,Welding
u3,Bowdoin College,s3,Anthropology
u3,Bowdoin College,s25,Interdisciplinary Studies
u3,Bowdoin College,s4,Art and Visual Culture
u3,Bowdoin College,s7,Chemistry and Laboratory Sciences
u3,Bowdoin College,s6,Biology
u3,Bowdoin College,s51,Computer Science
u3,Bowdoin College,s76,"Science, Technology, and Society"
u3,Bowdoin College,s11,Economics
u3,Bowdoin College,s12,Education
u3,Bowdoin College,s53,Engineering
u3,Bowdoin College,s13,English
u3,Bowdoin College,s24,History
u3,Bowdoin College,s27,Mathematics
u3,Bowdoin College,s28,Music
u3,Bowdoin College,s30,Philosophy
u3,Bowdoin College,s58,Physics
u3,Bowdoin College,s34,Psychology
u3,Bowdoin College,s59,Religion
u3,Bowdoin College,s337,Human Services
u3,Bowdoin College,s37,Sociology
u4,Colby College,s3,Anthropology
u4,Colby College,s4,Art and Visual Culture
u4,Colby College,s6,Biology
u4,Colby College,s7,Chemistry and Laboratory Sciences
u4,Colby College,s51,Computer Science
u4,Colby College,s11,Economics
u4,Colby College,s12,Education
u4,Colby College,s13,English
u4,Colby College,s25,Interdisciplinary Studies
u4,Colby College,s67,Geology
u4,Colby College,s70,Government
u4,Colby College,s24,History
u4,Colby College,s337,Human Services
u4,Colby College,s27,Mathematics
u4,Colby College,s28,Music
u4,Colby College,s30,Philosophy
u4,Colby College,s32,Physics and Astronomy
u4,Colby College,s34,Psychology
u4,Colby College,s76,"Science, Technology, and Society"
u4,Colby College,s37,Sociology
u4,Colby College,s78,Statistics
u4,Colby College,s80,Writing Department
u5,College of the Atlantic,s6,Biology
u5,College of the Atlantic,s82,Climate Change & Energy
u5,College of the Atlantic,s83,Community Planning & Ecological Policy
u5,College of the Atlantic,s4,Art and Visual Culture
u5,College of the Atlantic,s12,Education
u5,College of the Atlantic,s25,Interdisciplinary Studies
u5,College of the Atlantic,s87,Ethnography & Documentary
u5,College of the Atlantic,s337,Human Services
u5,College of the Atlantic,s92,Languages
u5,College of the Atlantic,s76,"Science, Technology, and Society"
u5,College of the Atlantic,s27,Mathematics
u5,College of the Atlantic,s42,Business
u6,Saint Joseph's College,s42,Business
u6,Saint Joseph's College,s12,Education
u6,Saint Joseph's College,s39,Healthcare
u6,Saint Joseph's College,s101,Leadership for sustainable development
u6,Saint Joseph's College,s76,"Science, Technology, and Society"
u6,Saint Joseph's College,s105,Theology
u7,Maine Media College,s4,Art and Visual Culture
u8,Maine College of Health Professions,s39,Healthcare
u8,Maine College of Health Professions,s76,"Science, Technology, and Society"
u9,Maine Maritime Academy,s39,Healthcare
u9,Maine Maritime Academy,s25,Interdisciplinary Studies
u9,Maine Maritime Academy,s76,"Science, Technology, and Society"
